"","x"
"1","HUGO GROTIUs OF THE AUTHORITY OF THE HIGHEsT POWERs About sacred things. OR, The Right of the state in the Church. Wherein are contained many judicious Discourses, pertinent to our Times, and of speciall Use for the Order and Peace of all Christian Churches. Put into English by C. B. M. A. The Method of every Chapter is added in the margent and collected at the end. LONDON, Printed by T. W. for Joshua Kirton, and are to be sold at his shop in Pauls Churchyard, at the signe of the Kings-Armes, 1651. "
"2","Upon the Author, and his principall Works. He, who the Greek wise sayings did translate,With equal Pen, to Latium: VindicateFrom Jew, Turk, Pagan, our Religion's Truth;
        As learned as the Aged, in his Youth:He, who th'Hollandian states Piety
        Presented unto every impartiall eye:Who, in the Lawes of Peace and War, all NationsHath well instructed: And, in's Annotations
        On the whole Book of God, hath made that lightshine to unprejudiced mindes more bright:He, that was studious, how to reconcile
        This and that Church, in mild Cassanders slile:Hath shown, what doctrine was Pelagius;
        Who's older, Calvin or Arminius;
        Is ever like himself. Here (which is much. )He's Moderator' twixt the state and Church;
        And clearly shews you, when you may preferTo th' Ancient Bishop, the young Presbyter;
        And when that new Invention may please,By Elders Lay, to give the Pastor ease. We'ave set it out with just Care; lest we mightWrong th' Author, who hath done the state such Right. 
        C. B. "
"3","THE CHAPTERs. I. THat Authority about sacred Things belongs to the Highest Powers. II. That this Authority and the sacred Function are distinct. III. Of the Agreement of things sacred and secular, as to the power over them. IV. Objections against the Powers Answered. V. Of the Judgement of the Higher Powers in sacred things. VI. The manner of using this Authority rightly. VII. Concerning synods, or Councils. VIII. Of Legislation about sacred things. IX. Of Jurisdiction Ecclesiasticall. X. Of the Election of Pastors. XI. Concerning Offices not alwayes necessary. XII. Of substitution and Delegation. "
"4","To the Illustrious Pair, my Lord, and my Lady CHANDOs. 
      Right Honourable,IT is the Great Name of the Author, not any worthiness of the Translator, that gives this Book a capacity of so high a Dedication. The Author, born in a low Countrey, hath, by his excellent works, both Divine and Humane, raised himself to the just Repute of the most General, and the wisest scholar of his time; so that, it is become a character of an Ingenuous student (as it was said, in the last Age, of his Country-man, the Great Erasmus) to be well versed in the Books of Grotius. Out of whose Magazine, our best English Writers, to their praise, have borrowed some of their best furniture. The Argument of this Work is worthy the study of Princes, and Great Persons; From whom, certainly, God expects a greater care of his
Churches Peace and Order. To which purpose, the Grave Author hath here said, some things first of all; some, with a better Grace than any other; and some, that although they have been said very well by our own Men, yet perhaps will be better taken (as the English humour is) from the Pen of a stranger. The Translator's Designe is, partly publick, in this scribling Age (wherein yet, we have need of more good Rooks, to Out the many bad ones) to cast in his Mite into the Treasury of the Church of England: (whom, as the Moderate Author much honoured, so He professeth himself to be one of her poor Children:) partly private, by this Dedication of it with Himself to your Honours, to leave a Gratefull Monument (and a lasting Monument, he hopes) in those Gracious Hands, that have supported him, in his worst and weakest Times. May Your Honours Both live to see the Publick Breaches, both of Church and state, fairly made up; and particularly, the Ruines of your sudely: And, may Your illustrious Names and Vertues live after you, and be increased in your Children, so prayeth,Right Honourable,Of all your servants the most obliged, the most humble, BARKsDALE. sudeley, Jan. 6. 1651. 
        "
