"","x"
"1","De Corpore Politico. OR THE ELEMENTs OF LAW, Moral & Politick. WITH Discourses upon severall Heads; as
Of
The Law of Nature. Oathes and Covenants. several kinds of Government. 
         
With the Changes and Revolutions of them. By Tho. Hobbs of Malmsbury. 
      LONDON, Printed by T. R. for J. Ridley, and are to be sold at the Castle in Fleetstreet, by Ram-Alley. 1652. "
"2","To The Reader. Reader,YOu may be pleased to take notice, That the first Part of the Work depends upon a former Treatise of Humane Nature written by Mr. Hobbs, and by a Friend of

his committed to the Press for the benefit of Mankind. It was thought fit, that nothing of so worthy an Author should be left unprinted, especially considering, that this Piece is most usefull for the society of reasona•le Creatures, being the Grounds and Principles of Policy, without which there would be nothing but Confusion in the World. I am confident, if mens Minds were but truly fixt upon the Center of this Discourse, they

would not prove such Weather-cocks, to be turned about with the wind of every false Doctrine, and vain Opinion. VVe should then be free from those Disorders which threaten distraction to the soul, and Destruction to the Common VVealth. But let others write never so well, if our practise doe not second their instructions, we may bee wise enough to foresee our misery, but never know how to prevent it. What pitty is it, that such

rare Conclusions as these are, should produce no other effect, but to informe our Knowledg, and confute our Conversation; whilest we neglect the Truth that is apprehended. Yet there is some hope, that such Observers, whose VVisdome hath received the stamp of Goodnesse, will improve their skill to a reall Advancement of those benefits, which lye horded up in this curious Cabinet, To whose use and behoof, these excellent notions are commended,

as the best that ever were writ in this kind, and may serve for a generall Ground and Foundation to all regular Conceptions, that concern the Essence and Existence of Man, the Government of Kingdoms and Common-VVealths, and by consequence our eternall salvation. "
