"","x"
"1","JAMEs HARRINGTON"
"2","THE commonwealth OF OCEANATantalus a labris sitiens, fugientia captatFlumina: quid rides? mutato nomine, de teFabula narratur. —Hor. LONDON, Printed by J. streater, for Livewell Chapman, and are to be sold at his shop at the Crown in Popes-Head-Alley, 1656. "
"3","THE COMMON-VVEALTH OF Oceana. Dedicated To His HIGHNEssE THE Lord Protector OF The commonwealth of England, scotland, and Ireland. 
      By James Harrington. 
      "
"4","Epistle to the Reader. 
      sIR, If this Writing be not acceptable, here is already enough, and too much of it, but if it be, it is but a rough draught; for I have not been yet two years about it, nor ever saw all or halfe my Papers together: And now in the bringing them to light, they have been dispersed into three Presses, where because I could not be present at them all, I was present at none, by which means the weaknesse of my performance, hath been so strangely managed for the worse, that I am quite out of countenance at my worke, which the ensuing errors mended, will not be perfect, but not mended, is not to be understood: Wherefore let me intreat you before you cast away the time in beginning to read, that you mend the Faults according unto the ensuing Correstions: Which done, I dare promise you that if I have not made you a good flight, I have sprung you the best Quarry: For though the Discourses be full of crudities, the Modell hath had perfect concoction. Errors of the ImpressionPage. Line. To be thus Corrected. INTRODUCTION.    Thee? thy. 14Thee, the. The Government. 236That Government. For shaking off the Yoake. 311For shaking the Yoak. The effects. 417Those effects. PRELIMINARYs.    Translation. 110Transition. Metius. 533Melius. Comes. 624Come. First he holdeth. 632He holdeth. Circussians. 845Circassians. Governments. 98Government. Oposite. 935Opposed. Naturally. 1421Maturely. Their ten. 162Thirteen. Talmudest. 1619Talmudists. Of others. 1721All other. The senate. 184This senate. commonwealth. 2136commonwealths. And foundation. 2236Or foundation. superstructions. 2236superstructures. Had no sufficient. 2638Had sufficient. Distributed them into. 3224Distributed into. Have overwhelmed. 336Overwhelmed. Vavosor. 3332Vavasor. Mediately the Teutons. 349Mediately by the Teutons. Vavosor vavosory. 3513Vavasor Vavasory. Vavosors vavosaryes. 3534Vavasors vavasorys. The mighty creaturs. 3824The mighty; creaturs. Freinds. 408Hiends. That makes. 436Makes. Mamalines. 4321Mamaluc's. Through. 4332Though. Corrupt: in a people. 4540Corruption. That prudence of. 464That of. Had nothing. 4720And had nothing. MODELL.    Gnavan. 5624Gnacion. Either the powr. 572The powre. sense. 574Cense. Vnto. 575Into. Be rang. 6035Be rung. Of the Ballot. 6337By the Ballott. The Hall. 7930The Halo. A Knight a Deputy. 7936A Knight or Deputy. Vnto the same or any other. 7938Into the Galaxy of the same or any other. Her ballance. 861such a ballance. As. 8637Is. This. 8914His. The estate of the Citizen being as little capable of encrease, as that of the commonwealth. 9113The estate of the City being as little capable of encrease as that of the Cittizen. In the fifteenth Order, for the page is wrong marked▪
        For first Region, line 3. read Third Region. For third Region, line 4. read first Region. For received the first, line 5. read received the third. 
        spread. 9424Had spread. The. 10123This. Or many. 10429Many. Their children. 10917His children. Their brocage. 10919His brocage. The Romances. 1107Your Romances. These. 1124Those. The People. 11213That People. Containe. 12145Continue. seale. 1227seate. seale. 1229seate. Examined. 13117Perused. Of the third. 14013Of the first. Another. 14031Other. Of Ballottine. 14035Or Ballottine. The model. 14315This model. Gentilman. 14317Gentilmen. The agent. 14319Your agent. Noblisse. 1442Noblesse. Gothickes. 14422Gothicke. A leur ayte. 14520A leur aise. Deverte. 1477Devest. That the Nobility be. 14824That the Nobility only be. And. 1506For. stolo d' Enyo. 15117Dolabella d' Enyo. Later. 15217Late. Ly they. 15227Lyes it. The Galaxys. 15310Your Galaxys. Provosts. 1559Our Provosts. Nime. 15535Mine. Dimicantes. 15924Demicantes. Which. 16427And. Not these. 17033Not these only. Cornupedum. 17212Cornipedum. The Common w:17324Your Common w:In the Prerogative. 17619In your Prerogative. Porposed. 17813Proposed. My. 17824May. The Tribunes. 18014The Tribunes, if the case be criminal. The Haukes. 18727Your Haukes. In esset. 18420In isset. Dieij. 18722Dieci. Of her Tapestry. 1917Of Tapestry. To nothing. 19728For nothing. And though. 19814Though. Beane. 19824Beast. Answare. 2018Reply. Which. 20218What. Amounts. 20227It amounts. Pointed. 20324Appointed. Waste. 2042The waste. Vrbane. 2057The Urbane. Obtained. 20518Attained. Moysances. 20534Nuysances. Tribes. 20541Wards. Censors. 20619Nine Censors. Preferred. 20633Presented. Make. 2094Making. That age. 21032The age. Esay. 21034Essays. Their. 21814These. Instance. 22022I instance. And Polemarch. 22130And a Polemarch. Flaminus. 2225Flamines. Cuntry. 22214Cuntrys. To the Elect. 22221To Elect. The. 2236Your. The. 2236Your. They. 22311When they. Religion. 22313Religion. )Of state. )22314Of state. Du prete. 2242Da prete. The Clergy,2245Your Clergy. Worke. 22726Worse. A Mark. — A Mark. — A Mark. —A spanell questing hath sprung my Book out of one Presse into two other, wherefore you will find the Retrieve, or that which followes next, differently marked from what went before; and the Corollary from this. RETREIVE.    Rubs. 15716Rub. Peice. As. 15720peice, then. Of the world, which then. 15730Of the world, then. Carkasses. 16013Carkasse. Have. 16027Leave. Have. 16029Hath. (As the case stood with such. )16524(As the case stood. )Be a Patronage. 26621Be Patronage. The. 27022Your. Charge. 27032Change. The matters. 27032Your matters. Your Legislators. 28126The Legislators. To heare. 28315Where. COROLLARY.    But whereas. 1912And whereas. Or. 19125Nor. The Traine being for. 19233The Traine, for. Tue. 19539Virtue. Out thine. 19540Outshine. shall be. 19638Be. shall be,19639Be. shall be. 1976Be. Of. 19723At. Pulce. 19735Pulse. Forth. 2008For. Nor might. 20427Not might that. Polymarches. 20624Polemarches. Kiera. 20728Hiera. Horses. 20824Forces. Destraction. 20913Detestation. syracusans. 20937syracusians. Is. 21012As. Patrae. 2111Patriae. The armes. 23317Your armes. Calamity: whereupon. 23429Calamity, whereupon. Captaines, Cornets. 23932Captaines: Cornets. "
"5","Errors of the ImpressionPage. Line. To be thus Corrected. INTRODUCTION.    Thee? thy. 14Thee, the. The Government. 236That Government. For shaking off the Yoake. 311For shaking the Yoak. The effects. 417Those effects. PRELIMINARYs.    Translation. 110Transition. Metius. 533Melius. Comes. 624Come. First he holdeth. 632He holdeth. Circussians. 845Circassians. Governments. 98Government. Oposite. 935Opposed. Naturally. 1421Maturely. Their ten. 162Thirteen. Talmudest. 1619Talmudists. Of others. 1721All other. The senate. 184This senate. commonwealth. 2136commonwealths. And foundation. 2236Or foundation. superstructions. 2236superstructures. Had no sufficient. 2638Had sufficient. Distributed them into. 3224Distributed into. Have overwhelmed. 336Overwhelmed. Vavosor. 3332Vavasor. Mediately the Teutons. 349Mediately by the Teutons. Vavosor vavosory. 3513Vavasor Vavasory. Vavosors vavosaryes. 3534Vavasors vavasorys. The mighty creaturs. 3824The mighty; creaturs. Freinds. 408Hiends. That makes. 436Makes. Mamalines. 4321Mamaluc's. Through. 4332Though. Corrupt: in a people. 4540Corruption. That prudence of. 464That of. Had nothing. 4720And had nothing. MODELL.    Gnavan. 5624Gnacion. Either the powr. 572The powre. sense. 574Cense. Vnto. 575Into. Be rang. 6035Be rung. Of the Ballot. 6337By the Ballott. The Hall. 7930The Halo. A Knight a Deputy. 7936A Knight or Deputy. Vnto the same or any other. 7938Into the Galaxy of the same or any other. Her ballance. 861such a ballance. As. 8637Is. This. 8914His. The estate of the Citizen being as little capable of encrease, as that of the commonwealth. 9113The estate of the City being as little capable of encrease as that of the Cittizen. In the fifteenth Order, for the page is wrong marked▪
        For first Region, line 3. read Third Region. For third Region, line 4. read first Region. For received the first, line 5. read received the third. 
        spread. 9424Had spread. The. 10123This. Or many. 10429Many. Their children. 10917His children. Their brocage. 10919His brocage. The Romances. 1107Your Romances. These. 1124Those. The People. 11213That People. Containe. 12145Continue. seale. 1227seate. seale. 1229seate. Examined. 13117Perused. Of the third. 14013Of the first. Another. 14031Other. Of Ballottine. 14035Or Ballottine. The model. 14315This model. Gentilman. 14317Gentilmen. The agent. 14319Your agent. Noblisse. 1442Noblesse. Gothickes. 14422Gothicke. A leur ayte. 14520A leur aise. Deverte. 1477Devest. That the Nobility be. 14824That the Nobility only be. And. 1506For. stolo d' Enyo. 15117Dolabella d' Enyo. Later. 15217Late. Ly they. 15227Lyes it. The Galaxys. 15310Your Galaxys. Provosts. 1559Our Provosts. Nime. 15535Mine. Dimicantes. 15924Demicantes. Which. 16427And. Not these. 17033Not these only. Cornupedum. 17212Cornipedum. The Common w:17324Your Common w:In the Prerogative. 17619In your Prerogative. Porposed. 17813Proposed. My. 17824May. The Tribunes. 18014The Tribunes, if the case be criminal. The Haukes. 18727Your Haukes. In esset. 18420In isset. Dieij. 18722Dieci. Of her Tapestry. 1917Of Tapestry. To nothing. 19728For nothing. And though. 19814Though. Beane. 19824Beast. Answare. 2018Reply. Which. 20218What. Amounts. 20227It amounts. Pointed. 20324Appointed. Waste. 2042The waste. Vrbane. 2057The Urbane. Obtained. 20518Attained. Moysances. 20534Nuysances. Tribes. 20541Wards. Censors. 20619Nine Censors. Preferred. 20633Presented. Make. 2094Making. That age. 21032The age. Esay. 21034Essays. Their. 21814These. Instance. 22022I instance. And Polemarch. 22130And a Polemarch. Flaminus. 2225Flamines. Cuntry. 22214Cuntrys. To the Elect. 22221To Elect. The. 2236Your. The. 2236Your. They. 22311When they. Religion. 22313Religion. )Of state. )22314Of state. Du prete. 2242Da prete. The Clergy,2245Your Clergy. Worke. 22726Worse. A Mark. — A Mark. — A Mark. —A spanell questing hath sprung my Book out of one Presse into two other, wherefore you will find the Retrieve, or that which followes next, differently marked from what went before; and the Corollary from this. RETREIVE.    Rubs. 15716Rub. Peice. As. 15720peice, then. Of the world, which then. 15730Of the world, then. Carkasses. 16013Carkasse. Have. 16027Leave. Have. 16029Hath. (As the case stood with such. )16524(As the case stood. )Be a Patronage. 26621Be Patronage. The. 27022Your. Charge. 27032Change. The matters. 27032Your matters. Your Legislators. 28126The Legislators. To heare. 28315Where. COROLLARY.    But whereas. 1912And whereas. Or. 19125Nor. The Traine being for. 19233The Traine, for. Tue. 19539Virtue. Out thine. 19540Outshine. shall be. 19638Be. shall be,19639Be. shall be. 1976Be. Of. 19723At. Pulce. 19735Pulse. Forth. 2008For. Nor might. 20427Not might that. Polymarches. 20624Polemarches. Kiera. 20728Hiera. Horses. 20824Forces. Destraction. 20913Detestation. syracusans. 20937syracusians. Is. 21012As. Patrae. 2111Patriae. The armes. 23317Your armes. Calamity: whereupon. 23429Calamity, whereupon. Captaines, Cornets. 23932Captaines: Cornets. "
"6","The Introduction or Order of the Work. OCeana is saluted by the Panegyrist after this manner;Plinie's Description of Oceana
         ▪
        
        O the most blessed and fortunate of all Countreys Oceana! How deservedly hath Nature with the bounties of Heaven and Earth endued thee? thy ever fruitfull womb not closed with▪ Ice, nor dissolved by the raging star; where Ceres and Bacchus are perpetuall Twins. Thy Woods are not the harbour of devouring beasts; nor thy continuall Verdure, the ambush of serpents: but the food of innumerable herds and flocks presenting thee their shepherdesse with distended dugs or golden Fleeces. The Wings of thy Night involve thee not in the horrour of darknesse, but have still some white feather, and thy Day is that for which we esteem life, the longest. But this Extasie of Plinie's (as is observed by Bertius) seemeth to allude as well unto Marpesia and Panopea, now Provinces of this commonwealth as unto Oceana her self. To speak of the people in each of these Countreys, this of Oceana for so soft an one,The Nature of the people: Essay 29. is the most martiall in the whole World. Let states that aym at greatnesse (saith Verulamius) take heed how their Nobility and Gentlemen do multiply too fast, for that maketh the common subject grow to be a Peasant and base swain driven out of heart, and in effect but a Gentlemans labourer: Even as you may see in Coppice Woods, if you leave the staddles too thick, you shall never have clean underwood, but shrubbs and bushes: so in Countries, if the Gentlemen be too many, the Commons will be base; and you will bring it to that, that not the hundredth pole will be fit for an Helmet; especially as to the Infantry which is the nerve of an Army, and so there will be great population and little strength. This which I speak of hath been no where better seen then by comparing of Oceana and France, whereof Oceana though far lesse in territory and population hath been neverthelesse an overmatch! in regard the middle people of Oceana make good souldiers, which the Peasants in France do not. In which words, Verulamius (as Machiavill hath done before him) harps much upon a string which he hath not perfectly tuned, and that is the ballance of Dominion or Propriety: as it followeth more plainly in his praise of the profound and admirable device of Panurgus King of Oceana, in making Farms and houses of Husbandry of a standard, that is, maintained with such a proportion of Land unto them, as may breed a subject to live in convenient plenty, and no servile condition, and to keep the Plough in the hand of the owners, and not meer hirelings: and thus

indeed (saith he) you shall attain unto Virgil's Character which he gives of ancient Italy:
Terra potens armis atque ubere glebae. 
      But the Tillage bringing up a good souldiery, bringeth up a good commonwealth: which the Author in the praise of Panurgus did not mind, nor Panurgus in deserving that praise; for where the owner of the Plough comes to have the sword too, he will use it in defence of his own; whence it hath happened, that the people of Oceana in proportion unto their propriety have been alwaies free: and the Genius of this Nation hath ever had some resemblance with that of antient Italy, which was wholly addicted unto commonwealths, and where Rome came to make the greatest accompt of her Rustick Tribes, and to call her Consuls from the Plough; for in the way of Parliaments, which was the Government of this Realm, men of Country Lives have been still intrusted with the greatest affairs, and the people have constantly had an aversion from the wayes of the Court, Ambition loving to be gay, and to fawn, hath been a gallantry looked upon as having something in it of the Livery; and Husbandry or the Country way of life, though of a grosser spinning, as the best stuffe of a commonwealth according unto Aristotle, (Agricolarum democratica respublica optima) such an one being the most obstinate assertresse of her liberty, and the least subject unto innovation or turbulency: Wherefore till the foundations (as will be hereafter shewed) were removed, this people was observed to be the least subject unto shakings and turbulency of any: Whereas commonwealths, upon which the City life hath had the stronger influence, as Athens, have seldome or never been quiet, but at the best are found to have injured their own businesse by overdoing it. Whence the Urbane Tribes of Rome consisting of the Turbaforensis, Libertines that had received their freedom by manumission, were of no reputation in comparison of the Rusticks. It is true, that with Venice it may seem to be otherwise, in regard the Gentlemen (for so are all such called as have right unto the Government) are wholly addicted unto the City life▪ but then the Turbaforensis, the secretaries, cittadini, with the rest of the populacy are wholly excluded; otherwise a commonwealth consisting but of one City, would doubtlesse be stormy, in regard that ambition would be every mans trade: but where it consisteth of a Country, the plough in the hands of the owner, findeth him a better calling, and produceth the most innocent and steddy Genius of a commonwealth, such as is that of Oceana. 
      The Nature of the Marpesians. 
        Marpesia being the Northern part of the same Island, is

the dry nurse of a populous and hardy people; but where the staddles have been formerly too thick: whence their courage answered not unto their hardinesse, except in the Nobility, who governed that Country much after the manner of Poland, save that the King was not elective, till the people received their liberty, the yoke of the Nobility being broken by the commonwealth of Oceana: which in grateful return is thereby provided with an inexhaustible Magazeen of Auxiliaries: Panopea,
        The nature of the Panopeans. 
        the soft mother of a slothful and pusillanimous people, is a neighbour Island, anciently subjected by the Arms of Oceana; since, almost depopulated for shaking off the Yoke, and at length replanted with a new Race. But (through what vertues of the soyl, or vice of the air soever it be) they come still to degenerate: wherefore seeing it is neither likely to yield men fit for Arms, nor necessary it should; it had been the interest of Oceana, so to have disposed of this Province, being both rich in the nature of the soyl, and full of commodious Ports for Trade, that it might have been ordered for the best in relation unto her purse▪ Which in my opinion (if it had been thought upon in time) might have been best done by planting it with Jewes, allowing them their own Rites and Lawes, for that would have brought them suddainly from all parts of the World, and in sufficient numbers; and though the Jews be now altogether for Merchandize, yet in the Land of Canaan (since their exile from whence they have not been Landlords) they were altogether for agriculture; and there is no cause why a man should doubt, but having a fruitfull Country and good Ports too, they would be good at both. Panopea well peopled, would be worth a matter of four millions dry rents, that is, besides the advantage of the agriculture and Trade, which with a Nation of that industry comes at least unto as much more. Wherefore Panopea being farmed out unto the Jews, and their heirs for ever, for the pay of a Provincial-Army to protect them during the term of seven years, and for two millions annual revenue from that time forward; besides, the Customs, which would pay the Provincial Army, would have been a bargain of such advantage, both unto them and this commonwealth, as is not to be found otherwise by either. To receive the Jewes after any other manner into a commonwealth, were to maim it: for they of all Nations never incorporate, but taking up the room of a Limb, are of no use or office unto the body, while they suck the nourishment which would sustain a natural and useful member. If Panopea had been so disposed of, that Knapsack, with the Marpesian Auxilliary, had been an inestimable treasure; the situation of these Countries being Islands, (as appeaas by Venice how advantagious such an one is to the like Government)

seemeth to have been designed by God for a commonwealth:situation of the commonwealth of Oceana. 
        and yet that through the streightnesse of the place, and defect of proper Arms, can be no more then a commonwealth for preservation; whereas this reduced unto the like Government is a commonwealth for encrease; and upon the mightiest foundation that any hath been laid from the beginning of the World unto this day. (Illam arctâ capiens Neptunus compede stringit:Hanc autem glaucis captus complectitur ulnis. )The sea giveth law unto the growth of Venice, but the growth of Oceana giveth law unto the sea. These Countries having been anciently distinct and hostile Kingdoms, came by Morpheus the Marpesian, who succeeded by hereditary right unto the Crown of Oceana, not onely to be joyned under one head, but to be cast, as it were by a charm, into that profound sleep, which broken at the length by the Trumpet of Civill War, hath produced the effects, that have given the occasion unto the ensuing Discourse, divided into Four Parts. "
