"","x"
"1","OBsERVATIONs CONCERNING THE Original and Various Forms OF GOVERNMENT, As Described, Viz. 
        1st. Upon Aristotles Politiques. 
         2d. Mr. Hobbs's Laviathan. 
         3d. Mr. Milton against salmatius. 
         4th. Hugo Grotius, de Jure Bello. 
         5th. Mr. Hunton's Treatise of Monarchy, or the Nature of a limited or mixed Monarchy. 
      By the Learned sir R. Filmer, Barronet. To which is added the Power of Kings. With directions for Obedience to Government in Dangerous and Doubtful Times. LONDON: Printed for R. R. C. and are to be sold by Thomas Axe, at the Blew-Ball in Duc•-Lane. 1696. "
"2","Augustissimi CAROLI secundi Dei Gratia ANGLIAE sCOTIAE FRANCIAE ET HIBERNIAE REX. Bona agere & mala pati Regium estPage. 1. 〈1 page duplicate〉"
"3","The Author's PREFACE. THere is a general Belief, that the Parliament of England was at first an Imitation of the Assembly of the Three Estates in France: therefore, in order to prepare the Ʋnderstanding in the Recerche we have in hand, it is proper to give a brief Accompt of the mode of France in those Assemblies: scotland and Ireland being also under the Dominion of the King of England; a Touch of the manner of their Parliaments shall be by way of Preface. 1. In France, the Kings Writ goeth to the Bailiffs, seneschals, or stewards of Liberties, who issue out Warrants to all

such as have Fees and Lands within their Liberties, and to all Towns, requiring all such as have any Complaints, to meet in the Principal City, there to choose two or three Delegates, in the name of that Province, to be present at the General Assembly. At the day appointed, they meet at the Principal City of the Bailiwick. The King's Writ is read, and every man called by name, and sworn to choose honest men, for the good of the King and Commonwealth, to be present at the General Assembly, as Delegates, faithfully to deliver their Grievances, and Demands of the Province. Then they choose their Delegates, and swear them. Next, they consult what is necessary to be complained of, or what is to be desired of the King: and of these things they make a Catalogue or Index. And because every man should freely propound his Complaint or Demands, there is a Chest placed in the

Town-Hall, into which every man may cast his Writing. After the Catalogue is made and signed, it is delivered to the Delegates to carry to the General Assembly. All the Bailiwicks are divided into twelve Classes. To avoid confusion, and to the end there may not be too great Delay in the Assembly, by the Gathering of all the Votes, every Classis compiles a Catalogue or Book of the Grievances and Demands of all the Bailiwicks within that Classis, then these Classes at the Assembly compose one Book of the Grievances and Demands of the whole Kingdom. This being the order of the Proceedings of the third Estate; the like order is observed by the Clergy and Nobility. When the three Books for the three Estates are perfected, then they present them to the King by their Presidents. First, the President for the Clergy begins his Oration on his knees, and the King

commanding, he stands up bare-headed, and proceeds. And so the next President for the Nobility doth the like. But the President for the Commons begins and ends his Oration on his knees. Whilst the President for the Clergy speaks, the rest of that Order rise up, and stand bare, till they are bid by the King to sit down, and be covered, and so the like for the Nobility. But whilst the President of the Commons speaks, the rest are neither bidden to sit, or be covered. Thus the Grievances and Demands being delivered, and left to the King and His Council, the General Assembly of the three Estates endeth, Atque ita totus actus concluditur. 
      Thus it appears, the General Assembly was but an orderly way of presenting the Publick Grievances and Demands of the whole Kingdom, to the consideration of the King: Not much unlike the antient Ʋsage of this Kingdom for a long time, when all Laws were nothing else but the

King's Answers to the Petitions presented to Him in Parliament, as is apparent by very many statutes, Parliament-Rolls, and the Confession of sir Edw. Coke. 
      2. In scotland, about twenty days before the Parliament begins, Proclamation is made throughout the Kingdom, to deliver in to the King's Clerk, or Master of the Rolls, all Bills to be exhibited that sessions, before a certain day: then are they brought to the King, and perused by Him: and only such as he allows are put into the Chancellour's hand, to be propounded in Parliament, and none others: And if any man in Parliament speak of another matter than is allowed by the King, the Chancellor tells him, there is no such Bill allowed by the King. When they have passed them for Laws, they are presented to the King, who, with his scepter put into His hand by the Chancellor, ratifies them, and if there be any thing the King dislikes, they raze it out before. 3. In Ireland, the Parliament, as appears by a statute made in the Tenth year of Hen. 7. c. 4. is to be after this manner: No Parliament is to be holden but at such season as the King's Lieutenant and Council there, do first certifie the King, under the Great seal of that Land, the Causes and Considerations, and all such Acts as they think fit should pass in the said Parliament. And such Causes and Considerations, and Acts affirmed by the King and his Council to be good and expedient for that Land: And His Licence thereupon as well in affirmation of the said Causes and Acts, as to summon the Parliament under His Great seal of England had and obtained. That done, a Parliament to be had and holden after the Form and Effect afore-rehearsed, and if any Parliament be holden in that Land contrary to the Form and Provision aforesaid, it is deemed void, and of none. Effect in Law. It is provided, that all such

Bills as shall be offered to the Parliament there; shall be first transmitted hither under the Great seal of that Kingdom, and having received Allowance and Approbation here, shall be put under the Great seal of this Kingdom, and so returned thither to be preferred to the Parliament. By a statute of 3 and 4 of Philip and Mary, for the expounding of Poynings Act, it is ordered, for the King's Passing of the said Acts in such Form and Tenor as they should be sent into England, or else for the Change of them, or any part of them. After this shorter Narrative of the Ʋ
        sage of Parliaments in our Neighbour and Fellow Kingdoms, it is time the inquisitio magna of our own be offered to the Verdict or Judgment of a moderate and intelligent Reader. Rob. Filmer. "
"4","A COLLECTION Of the several TRACTs Written by sir ROBERT FILMER, Knight. I. The Free-holders Grand Inquest, touching our soveraign Lord the King, and his Parliament: To which are added Observations upon Forms of Government: Together with Directions for Obedience to Governors in Dangerous and Doubtful Times. II. Reflections concerning the Original

of Government, upon 1. Aristotle's Politiques. 2. Mr. Hobs's Leviathan. 3. Mr. Milton against salmasius. 4. H. Grotius De Jure Belli. 5. Mr. Hunton's Treatise of Monarchy, or the Anarchy of a limited or mixed Monarchy. III. A succinct Examination of the Fundamentals of Monarchy, both in this and other Kingdoms, as well about the Right of Power in Kings, as of the Original and Natural Liberty of the People. A Question never yet Disputed, though most necessary in these Times. IV. The Power of Kings: And in Particular, of the King of England. 
      V. An Advertisement to the Jury-Men of England, touching Witches. Together with a Difference between an English and Hebrew Witch. VI. PATRIARCHA: Or the Natural Power of KINGs. "
"5","The Argument. A Presentment of divers statutes, Records, and other Precedents, explaining the Writs of summons to Parliament: shewing,
I. That the Commons, by their Writ, are only to Perform and Consent to the Ordinances of Parliament. 
         II. That the Lords or Common Councel by their Writ are only to Treat, and give Counsel in Parliament. 
         III. That the King himself only Ordains and makes Laws, and is supreme Judge in Parliament. 
         
      With the suffrages ofHen. de Bracton. Jo. Britton. Tho. Egerton. Edw. Coke. Walter Raleigh. Rob. Cotton. Hen. spelman. Jo. Glanvil. Will. Lambard. Rich. Crompton. William Cambden, andJo. selden. "
