"","x"
"1","IMMOTA TRIUMPHANsClarior é tenebrisCREsCIT sUB PONDERE VIRTUsCoe•i ••pectoAsperam at Levem. GratiaChristi TractoIN VERBO TUO sPEs MEA. Beatam et EternamGloriasplendidam at GravemVanitasMundi 〈◊〉
         Guil•• Marshall sculpsit"
"2","Εικων Βασιλικη.  THE POVRTRAICTVRE OF HIs sACRED MAIEsTIE IN HIs sOLITVDEs AND sVFFERINGs. ROM. 8. 
More then Conquerour, &c. Bona agere, & mala pati, Regium est. M. DC. XLVIII. "
"3","THE CONTENTs. 1. UPon His Majesties calling this last Parliament. p. 1. 2. Vpon the Earle of strafford's death. 6. 3. Vpon His Majesties going to the House of Commons. 12. 4. Vpon the Insolency of the Tumults. 17. 5. Vpon His Majesties passing the Bill for the Trienniall Parliaments: And after setling this, during the pleasure of the two Houses. 26. 6. Vpon His Majesties retirement from VVestminster. 
        34. 7. Vpon the Queens departure, and

absence out of England. 
        41. 8. Vpon His Majesties repulse at Hull, and the fates of the Hothams. 
        47. 9. Vpon the Listing, and raising Armies against the King. 54. 10. Vpon their seizing the Kings Magazines, Forts, Navy, and Militia. 66. 11. Vpon the 19. Propositions first sent to the King; and more afterwards. 75. 12. Vpon the Rebellion, and troubles in Ireland. 
        89. 13. Vpon the Calling in of the scots, and their Comming. 100. 14. Vpon the Covenant. 110. 15. Vpon the many Iealousies raised, and scandals cast upon the

King, to stirre up the People against Him. 122. 16. Vpon the Ordinance against the Common-Prayer-Booke. 138. 17. Of the differences between the King, and the 2 Houses, in point of Church-government. 147. 18. Vpon Vxbridge-Treaty, and other Offers made by the King. p. 166. 19. Vpon the various events of the War; Victories, and Defeats. 172. 20. Vpon the Reformations of the Times. 181. 21. Vpon His Majesties Letters, taken, and divulged. 189. 22. Vpon His Majesties leaving Oxford, and going to the scots. 
        197. 23. Vpon the scots delivering the King to the English; and His Captivity at Holmeby. 
        201. 24. Vpon their denying His Majesty the Attendance of His Chaplaines. 206. 25. Penitentiall Meditations and Vowes in the KING's solitude at Holmeby. 218. 26. Vpon the Armies surprisall of the KING at Holmeby, and the ensuing distractions in the two Houses, the Army, and the City. 223. 27. To the Prince of VVales. 232. Meditations upon Death, aft•r the Votes of Non-Addresses, and HIs MAJEsTIEs closer Imprisonment in Carisbrooke-Castle. 
        p. 252. "
"4","ERRATA. PAg. 12. l. 11. r. O make me. l. 12. r. of joy. p. 14. l. 9. r. attended me. p. 21. l. 16. r. in any man. p. 28. l. 10. r. Honour. p. 33. l. 13. r. for my sins. p. 34. l. 4. r. to sea by a storme. p. 37. l. 20. r. obtrusions p. 51. l. 21. r. perpetrations. p. 52. l. 1. r. for as his death. p. 58. l. 27. r. was the Bill. p. 61. l. 24. r. knew. p. 68. l. 17. r. power, so. p. 87. l. 19. for thy r. the. p. 112. l. 5. r. populacy. p. 114. l. 24. r. crosse not their. p. 131. l. 18. r. no me•. p. 142. l. 1•. r. b•
        expected. p. 186. l. 19. r. ever will. p. 205. l. 27. r. saviours. p. 233. l. 27. r. le Bon. 
      "
